wilgotnosc,temperatura,godzina,dzientyg,dzienmsc,miesiac,rok
65,26,20:49,Sroda,09,2,2022
61,26,21:19,Sroda,09,2,2022
61,26,21:49,Sroda,09,2,2022
54,26,22:19,Sroda,09,2,2022
43,26,22:49,Sroda,09,2,2022
78,26,23:19,Sroda,09,2,2022
70,26,23:49,Sroda,09,2,2022
67,26,00:50,Czwartek,10,2,2022
59,26,01:20,Czwartek,10,2,2022
60,26,01:50,Czwartek,10,2,2022
60,26,02:20,Czwartek,10,2,2022
61,26,02:50,Czwartek,10,2,2022
60,26,03:20,Czwartek,10,2,2022
60,26,03:50,Czwartek,10,2,2022
61,26,04:20,Czwartek,10,2,2022
61,26,04:50,Czwartek,10,2,2022
61,26,05:20,Czwartek,10,2,2022
61,26,05:50,Czwartek,10,2,2022
61,26,06:20,Czwartek,10,2,2022
62,26,06:50,Czwartek,10,2,2022
61,26,07:20,Czwartek,10,2,2022
62,26,07:50,Czwartek,10,2,2022
61,26,08:20,Czwartek,10,2,2022
61,26,08:50,Czwartek,10,2,2022
61,26,09:20,Czwartek,10,2,2022
61,26,09:50,Czwartek,10,2,2022
60,26,10:20,Czwartek,10,2,2022
57,26,10:50,Czwartek,10,2,2022
