Ruch,godzina,dzien,miesiac,rok
1,21:01:08,03,02,2022
1,21:01:09,03,02,2022
1,21:01:16,03,02,2022
1,21:01:17,03,02,2022
1,21:38:22,03,02,2022
1,21:38:23,03,02,2022
1,21:38:28,03,02,2022
1,21:38:29,03,02,2022
1,21:38:29,03,02,2022
1,08:57:01,04,02,2022
1,08:57:02,04,02,2022
1,08:57:06,04,02,2022
1,08:57:07,04,02,2022
1,08:57:07,04,02,2022
1,08:59:25,04,02,2022
1,08:59:31,04,02,2022
1,08:59:32,04,02,2022
1,08:59:33,04,02,2022
1,08:59:36,04,02,2022
1,08:59:49,04,02,2022
1,09:00:23,04,02,2022
1,09:00:24,04,02,2022
1,09:00:25,04,02,2022
1,09:00:29,04,02,2022
1,09:01:16,04,02,2022
1,09:01:16,04,02,2022
1,09:01:17,04,02,2022
1,09:02:37,04,02,2022
1,11:02:43,04,02,2022
1,11:02:44,04,02,2022
1,11:02:45,04,02,2022
1,11:02:45,04,02,2022
1,11:03:56,04,02,2022
1,11:04:02,04,02,2022
1,11:04:03,04,02,2022
1,11:04:17,04,02,2022
1,11:04:21,04,02,2022
1,11:04:51,04,02,2022
1,20:21:58,09,02,2022
1,20:21:59,09,02,2022
1,20:22:00,09,02,2022
1,20:25:13,09,02,2022
1,20:25:13,09,02,2022
1,20:25:14,09,02,2022
1,20:25:14,09,02,2022
1,20:25:15,09,02,2022
1,20:25:16,09,02,2022
1,20:25:23,09,02,2022
1,20:25:24,09,02,2022
1,20:25:42,09,02,2022
1,20:25:43,09,02,2022
1,20:25:43,09,02,2022
1,20:25:44,09,02,2022
1,20:25:45,09,02,2022
1,20:25:54,09,02,2022
1,20:25:55,09,02,2022
1,20:28:28,09,02,2022
1,20:28:28,09,02,2022
1,20:28:33,09,02,2022
1,20:28:34,09,02,2022
1,20:28:35,09,02,2022
1,20:28:40,09,02,2022
1,20:28:46,09,02,2022
1,21:03:29,09,02,2022
1,21:03:30,09,02,2022
1,21:03:31,09,02,2022
1,21:03:31,09,02,2022
1,21:03:36,09,02,2022
1,21:03:39,09,02,2022
1,21:03:46,09,02,2022
1,21:37:28,09,02,2022
1,21:37:29,09,02,2022
1,21:37:29,09,02,2022
1,21:37:36,09,02,2022
1,21:37:38,09,02,2022
1,21:37:38,09,02,2022
1,21:37:46,09,02,2022
1,21:37:46,09,02,2022
1,21:37:47,09,02,2022
1,21:37:54,09,02,2022
1,21:41:01,09,02,2022
1,21:41:02,09,02,2022
1,21:41:03,09,02,2022
1,21:41:37,09,02,2022
1,21:41:38,09,02,2022
1,21:41:43,09,02,2022
1,21:41:44,09,02,2022
1,21:41:48,09,02,2022
1,21:41:49,09,02,2022
1,21:41:50,09,02,2022
1,21:41:50,09,02,2022
1,21:43:10,09,02,2022
1,21:43:11,09,02,2022
1,21:43:12,09,02,2022
1,21:43:12,09,02,2022
1,21:43:13,09,02,2022
1,21:43:19,09,02,2022
1,21:43:23,09,02,2022
1,21:43:24,09,02,2022
1,21:43:25,09,02,2022
1,21:43:26,09,02,2022
1,21:43:26,09,02,2022
1,22:10:00,09,02,2022
1,22:10:01,09,02,2022
1,22:10:02,09,02,2022
1,22:10:06,09,02,2022
1,22:10:07,09,02,2022
1,22:10:08,09,02,2022
1,22:10:12,09,02,2022
1,22:10:18,09,02,2022
1,22:10:24,09,02,2022
1,22:10:25,09,02,2022
1,22:10:29,09,02,2022
1,22:10:30,09,02,2022
1,22:10:31,09,02,2022
1,22:10:32,09,02,2022
1,22:10:32,09,02,2022
1,22:10:33,09,02,2022
1,22:15:14,09,02,2022
1,22:15:14,09,02,2022
1,22:15:20,09,02,2022
1,22:15:20,09,02,2022
1,22:21:35,09,02,2022
1,22:21:38,09,02,2022
1,22:21:39,09,02,2022
1,22:21:40,09,02,2022
1,22:21:43,09,02,2022
1,22:21:44,09,02,2022
1,22:21:45,09,02,2022
1,22:21:49,09,02,2022
1,22:21:54,09,02,2022
1,22:21:54,09,02,2022
1,22:21:59,09,02,2022
1,22:21:59,09,02,2022
1,22:22:04,09,02,2022
1,22:22:05,09,02,2022
1,22:22:14,09,02,2022
1,22:22:21,09,02,2022
1,22:22:30,09,02,2022
1,22:22:41,09,02,2022
1,22:22:42,09,02,2022
1,22:22:42,09,02,2022
1,22:22:53,09,02,2022
1,22:22:54,09,02,2022
1,22:22:54,09,02,2022
1,22:22:55,09,02,2022
