wilgotnosc,temperatura,ruch,godzina,dzientyg,dzienmsc,miesiac,rok

40,26,1,00:00,poniedzialek,1,1,2021

61,23,0,00:30,poniedzialek,1,1,2021

57,23,0,1:00,poniedzialek,1,1,2021

57,29,0,1:30,poniedzialek,1,1,2021

80,25,1,2:00,poniedzialek,1,1,2021

73,21,0,2:30,poniedzialek,1,1,2021

55,24,1,3:00,poniedzialek,1,1,2021

41,22,0,3:30,poniedzialek,1,1,2021

63,27,1,4:00,poniedzialek,1,1,2021

79,24,0,4:30,poniedzialek,1,1,2021

61,26,1,5:00,poniedzialek,1,1,2021

43,25,0,5:30,poniedzialek,1,1,2021

49,23,0,6:00,poniedzialek,1,1,2021

74,30,1,6:30,poniedzialek,1,1,2021

67,21,1,7:00,poniedzialek,1,1,2021

42,23,1,7:30,poniedzialek,1,1,2021

43,19,1,8:00,poniedzialek,1,1,2021

76,29,0,8:30,poniedzialek,1,1,2021

68,28,1,9:00,poniedzialek,1,1,2021

68,30,0,9:30,poniedzialek,1,1,2021

59,30,1,10:00,poniedzialek,1,1,2021

63,21,0,10:30,poniedzialek,1,1,2021

53,30,1,11:00,poniedzialek,1,1,2021

42,29,0,11:30,poniedzialek,1,1,2021

54,25,0,12:00,poniedzialek,1,1,2021

40,29,1,12:30,poniedzialek,1,1,2021

40,22,1,13:00,poniedzialek,1,1,2021

73,19,1,13:30,poniedzialek,1,1,2021

62,25,1,14:00,poniedzialek,1,1,2021

70,20,1,14:30,poniedzialek,1,1,2021

47,27,1,15:00,poniedzialek,1,1,2021

41,19,1,15:30,poniedzialek,1,1,2021

58,24,1,16:00,poniedzialek,1,1,2021

79,24,1,16:30,poniedzialek,1,1,2021

68,24,1,17:00,poniedzialek,1,1,2021

74,29,1,17:30,poniedzialek,1,1,2021

49,19,0,18:00,poniedzialek,1,1,2021

72,19,1,18:30,poniedzialek,1,1,2021

51,21,1,19:00,poniedzialek,1,1,2021

52,24,1,19:30,poniedzialek,1,1,2021

78,29,0,20:00,poniedzialek,1,1,2021

61,22,1,20:30,poniedzialek,1,1,2021

78,30,1,21:00,poniedzialek,1,1,2021

47,22,0,21:30,poniedzialek,1,1,2021

76,28,1,22:00,poniedzialek,1,1,2021

45,22,0,22:30,poniedzialek,1,1,2021

58,22,1,23:00,poniedzialek,1,1,2021

72,22,1,23:30,poniedzialek,1,1,2021

68,21,1,00:00,wtorek,2,1,2021

72,21,0,00:30,wtorek,2,1,2021

65,23,0,1:00,wtorek,2,1,2021

50,28,0,1:30,wtorek,2,1,2021

44,20,1,2:00,wtorek,2,1,2021

62,20,1,2:30,wtorek,2,1,2021

44,20,0,3:00,wtorek,2,1,2021

47,30,1,3:30,wtorek,2,1,2021

72,25,1,4:00,wtorek,2,1,2021

65,24,1,4:30,wtorek,2,1,2021

45,26,1,5:00,wtorek,2,1,2021

55,25,1,5:30,wtorek,2,1,2021

50,30,1,6:00,wtorek,2,1,2021

78,19,1,6:30,wtorek,2,1,2021

58,23,0,7:00,wtorek,2,1,2021

57,24,0,7:30,wtorek,2,1,2021

62,21,0,8:00,wtorek,2,1,2021

56,27,0,8:30,wtorek,2,1,2021

56,22,1,9:00,wtorek,2,1,2021

53,19,1,9:30,wtorek,2,1,2021

51,28,1,10:00,wtorek,2,1,2021

43,28,1,10:30,wtorek,2,1,2021

71,22,1,11:00,wtorek,2,1,2021

51,21,1,11:30,wtorek,2,1,2021

71,30,0,12:00,wtorek,2,1,2021

73,28,1,12:30,wtorek,2,1,2021

57,25,1,13:00,wtorek,2,1,2021

45,22,1,13:30,wtorek,2,1,2021

50,30,0,14:00,wtorek,2,1,2021

66,30,0,14:30,wtorek,2,1,2021

78,30,1,15:00,wtorek,2,1,2021

52,20,1,15:30,wtorek,2,1,2021

68,22,0,16:00,wtorek,2,1,2021

78,29,1,16:30,wtorek,2,1,2021

63,26,1,17:00,wtorek,2,1,2021

40,29,1,17:30,wtorek,2,1,2021

50,23,1,18:00,wtorek,2,1,2021

72,28,0,18:30,wtorek,2,1,2021

51,23,0,19:00,wtorek,2,1,2021

70,19,0,19:30,wtorek,2,1,2021

67,19,1,20:00,wtorek,2,1,2021

71,20,0,20:30,wtorek,2,1,2021

48,29,0,21:00,wtorek,2,1,2021

70,26,1,21:30,wtorek,2,1,2021

76,28,1,22:00,wtorek,2,1,2021

70,24,1,22:30,wtorek,2,1,2021

71,23,1,23:00,wtorek,2,1,2021

64,30,0,23:30,wtorek,2,1,2021

75,19,0,00:00,sroda,3,1,2021

58,20,0,00:30,sroda,3,1,2021

53,19,1,1:00,sroda,3,1,2021

42,27,1,1:30,sroda,3,1,2021

67,30,1,2:00,sroda,3,1,2021

54,27,1,2:30,sroda,3,1,2021

76,22,1,3:00,sroda,3,1,2021

44,20,1,3:30,sroda,3,1,2021

41,26,1,4:00,sroda,3,1,2021

71,25,1,4:30,sroda,3,1,2021

70,25,0,5:00,sroda,3,1,2021

40,21,0,5:30,sroda,3,1,2021

64,20,1,6:00,sroda,3,1,2021

70,29,0,6:30,sroda,3,1,2021

48,28,0,7:00,sroda,3,1,2021

80,20,0,7:30,sroda,3,1,2021

52,19,0,8:00,sroda,3,1,2021

70,23,0,8:30,sroda,3,1,2021

67,26,0,9:00,sroda,3,1,2021

54,27,0,9:30,sroda,3,1,2021

47,19,0,10:00,sroda,3,1,2021

61,27,0,10:30,sroda,3,1,2021

76,20,1,11:00,sroda,3,1,2021

60,27,0,11:30,sroda,3,1,2021

61,23,0,12:00,sroda,3,1,2021

40,24,0,12:30,sroda,3,1,2021

45,21,0,13:00,sroda,3,1,2021

56,21,0,13:30,sroda,3,1,2021

66,23,0,14:00,sroda,3,1,2021

45,28,0,14:30,sroda,3,1,2021

50,30,0,15:00,sroda,3,1,2021

73,28,0,15:30,sroda,3,1,2021

63,27,0,16:00,sroda,3,1,2021

54,20,0,16:30,sroda,3,1,2021

41,23,1,17:00,sroda,3,1,2021

71,22,1,17:30,sroda,3,1,2021

59,20,1,18:00,sroda,3,1,2021

55,29,0,18:30,sroda,3,1,2021

60,24,0,19:00,sroda,3,1,2021

57,29,0,19:30,sroda,3,1,2021

74,21,1,20:00,sroda,3,1,2021

60,20,0,20:30,sroda,3,1,2021

47,26,1,21:00,sroda,3,1,2021

68,24,0,21:30,sroda,3,1,2021

76,22,1,22:00,sroda,3,1,2021

