wilgotnosc,temperatura,godzina,dzientyg,dzienmsc,miesiac,rok
32,26,11:50,Piatek,10,12,2021
32,26,12:21,Piatek,10,12,2021
33,25,12:51,Piatek,10,12,2021
33,25,13:21,Piatek,10,12,2021
34,25,13:51,Piatek,10,12,2021
33,26,16:21,Piatek,10,12,2021
30,27,16:51,Piatek,10,12,2021
32,26,17:21,Piatek,10,12,2021
32,26,17:51,Piatek,10,12,2021
32,25,18:21,Piatek,10,12,2021
36,25,18:52,Piatek,10,12,2021
37,24,19:22,Piatek,10,12,2021
36,25,19:52,Piatek,10,12,2021
37,25,20:22,Piatek,10,12,2021
40,25,20:52,Piatek,10,12,2021
39,25,21:22,Piatek,10,12,2021
39,25,21:52,Piatek,10,12,2021
37,25,22:22,Piatek,10,12,2021
51,25,22:52,Piatek,10,12,2021
37,25,23:22,Piatek,10,12,2021
36,25,23:52,Piatek,10,12,2021
35,25,14:07,Sobota,11,12,2021
34,25,14:38,Sobota,11,12,2021
33,25,15:08,Sobota,11,12,2021
33,25,15:38,Sobota,11,12,2021
33,25,16:08,Sobota,11,12,2021
34,25,16:38,Sobota,11,12,2021
34,25,17:08,Sobota,11,12,2021
34,25,17:38,Sobota,11,12,2021
35,25,18:08,Sobota,11,12,2021
36,25,18:38,Sobota,11,12,2021
36,25,19:08,Sobota,11,12,2021
36,25,19:38,Sobota,11,12,2021
36,25,20:08,Sobota,11,12,2021
36,25,20:38,Sobota,11,12,2021
36,24,21:08,Sobota,11,12,2021
36,24,21:38,Sobota,11,12,2021
36,24,22:08,Sobota,11,12,2021
36,24,22:39,Sobota,11,12,2021
36,24,23:09,Sobota,11,12,2021
36,24,23:39,Sobota,11,12,2021
36,24,00:09,Niedziela,12,12,2021
36,24,00:39,Niedziela,12,12,2021
35,24,01:09,Niedziela,12,12,2021
35,24,01:39,Niedziela,12,12,2021
36,24,02:09,Niedziela,12,12,2021
36,24,02:39,Niedziela,12,12,2021
35,24,03:09,Niedziela,12,12,2021
35,24,03:39,Niedziela,12,12,2021
35,24,04:09,Niedziela,12,12,2021
35,24,04:39,Niedziela,12,12,2021
36,24,05:09,Niedziela,12,12,2021
36,24,05:39,Niedziela,12,12,2021
35,24,06:09,Niedziela,12,12,2021
36,24,06:39,Niedziela,12,12,2021
35,24,07:09,Niedziela,12,12,2021
35,24,07:40,Niedziela,12,12,2021
35,24,08:10,Niedziela,12,12,2021
35,24,08:40,Niedziela,12,12,2021
35,24,09:10,Niedziela,12,12,2021
35,25,09:40,Niedziela,12,12,2021
35,25,10:10,Niedziela,12,12,2021
35,24,10:40,Niedziela,12,12,2021
35,25,11:10,Niedziela,12,12,2021
35,25,11:40,Niedziela,12,12,2021
35,25,12:10,Niedziela,12,12,2021
35,25,12:40,Niedziela,12,12,2021
35,25,13:10,Niedziela,12,12,2021
34,25,13:40,Niedziela,12,12,2021
34,25,14:11,Niedziela,12,12,2021
35,25,14:41,Niedziela,12,12,2021
35,25,15:11,Niedziela,12,12,2021
34,25,15:41,Niedziela,12,12,2021
34,25,16:11,Niedziela,12,12,2021
34,25,16:41,Niedziela,12,12,2021
34,25,17:11,Niedziela,12,12,2021
34,25,17:41,Niedziela,12,12,2021
35,25,18:11,Niedziela,12,12,2021
35,25,18:41,Niedziela,12,12,2021
35,26,19:11,Niedziela,12,12,2021
