wilgotnosc,temperatura,dym,ruch,godzina,dzientyg,dzienmsc,miesiac,rok
56.0,21.0,Nie ma dymu,0,10:11,Piatek,26,11,2021
50.0,22.0,Nie ma dymu,0,10:41,Piatek,26,11,2021
47.0,23.0,Nie ma dymu,0,11:11,Piatek,26,11,2021
48.0,23.0,Nie ma dymu,0,11:41,Piatek,26,11,2021
49.0,23.0,Nie ma dymu,0,12:11,Piatek,26,11,2021
51.0,22.0,Nie ma dymu,0,12:41,Piatek,26,11,2021
50.0,23.0,Nie ma dymu,0,13:11,Piatek,26,11,2021
52.0,22.0,Nie ma dymu,0,13:42,Piatek,26,11,2021
51.0,23.0,Nie ma dymu,0,14:12,Piatek,26,11,2021
51.0,23.0,Nie ma dymu,0,14:42,Piatek,26,11,2021
51.0,23.0,Nie ma dymu,0,15:12,Piatek,26,11,2021
53.0,22.0,Nie ma dymu,0,15:42,Piatek,26,11,2021
56.0,23.0,Nie ma dymu,0,16:12,Piatek,26,11,2021
53.0,23.0,Nie ma dymu,0,16:42,Piatek,26,11,2021
52.0,23.0,Nie ma dymu,0,17:12,Piatek,26,11,2021
52.0,23.0,Nie ma dymu,0,17:42,Piatek,26,11,2021
54.0,23.0,Nie ma dymu,0,18:12,Piatek,26,11,2021
53.0,23.0,Nie ma dymu,0,18:42,Piatek,26,11,2021
53.0,23.0,Nie ma dymu,0,19:12,Piatek,26,11,2021
50.0,23.0,Nie ma dymu,0,19:42,Piatek,26,11,2021
49.0,23.0,Nie ma dymu,0,20:12,Piatek,26,11,2021
50.0,23.0,Nie ma dymu,0,20:42,Piatek,26,11,2021
51.0,22.0,Nie ma dymu,0,21:12,Piatek,26,11,2021
51.0,22.0,Nie ma dymu,0,21:42,Piatek,26,11,2021
48.0,23.0,Nie ma dymu,0,22:12,Piatek,26,11,2021
51.0,22.0,Nie ma dymu,0,22:42,Piatek,26,11,2021
47.0,23.0,Nie ma dymu,0,23:12,Piatek,26,11,2021
49.0,22.0,Nie ma dymu,0,23:42,Piatek,26,11,2021
47.0,23.0,Nie ma dymu,0,00:12,Sobota,27,11,2021
50.0,22.0,Nie ma dymu,0,00:42,Sobota,27,11,2021
52.0,23.0,Nie ma dymu,0,01:12,Sobota,27,11,2021
51.0,23.0,Nie ma dymu,0,01:42,Sobota,27,11,2021
54.0,22.0,Nie ma dymu,0,02:12,Sobota,27,11,2021
54.0,22.0,Nie ma dymu,0,02:43,Sobota,27,11,2021
54.0,23.0,Nie ma dymu,0,03:13,Sobota,27,11,2021
56.0,22.0,Nie ma dymu,0,03:43,Sobota,27,11,2021
54.0,22.0,Nie ma dymu,0,04:13,Sobota,27,11,2021
54.0,22.0,Nie ma dymu,0,04:43,Sobota,27,11,2021
53.0,23.0,Nie ma dymu,0,05:13,Sobota,27,11,2021
53.0,23.0,Nie ma dymu,0,05:43,Sobota,27,11,2021
53.0,23.0,Nie ma dymu,0,06:13,Sobota,27,11,2021
56.0,22.0,Nie ma dymu,0,06:43,Sobota,27,11,2021
55.0,22.0,Nie ma dymu,0,07:13,Sobota,27,11,2021
54.0,23.0,Nie ma dymu,0,07:43,Sobota,27,11,2021
54.0,23.0,Nie ma dymu,0,08:13,Sobota,27,11,2021
53.0,23.0,Nie ma dymu,0,08:43,Sobota,27,11,2021
54.0,23.0,Nie ma dymu,0,09:13,Sobota,27,11,2021
54.0,22.0,Nie ma dymu,0,09:44,Sobota,27,11,2021
54.0,23.0,Nie ma dymu,0,10:14,Sobota,27,11,2021
52.0,23.0,Nie ma dymu,0,10:44,Sobota,27,11,2021
52.0,23.0,Nie ma dymu,0,11:14,Sobota,27,11,2021
55.0,22.0,Nie ma dymu,0,11:44,Sobota,27,11,2021
54.0,23.0,Nie ma dymu,0,12:14,Sobota,27,11,2021
53.0,23.0,Nie ma dymu,0,12:44,Sobota,27,11,2021
55.0,23.0,Nie ma dymu,0,13:14,Sobota,27,11,2021
52.0,23.0,Nie ma dymu,0,13:44,Sobota,27,11,2021
54.0,22.0,Nie ma dymu,0,14:14,Sobota,27,11,2021
54.0,23.0,Nie ma dymu,0,14:44,Sobota,27,11,2021
53.0,23.0,Nie ma dymu,0,15:14,Sobota,27,11,2021
56.0,22.0,Nie ma dymu,0,15:44,Sobota,27,11,2021
57.0,22.0,Nie ma dymu,0,16:14,Sobota,27,11,2021
63.0,20.0,Nie ma dymu,0,16:44,Sobota,27,11,2021
34.0,28.0,Nie ma dymu,0,15:41,Poniedzialek,29,11,2021
34.0,28.0,Nie ma dymu,1,16:11,Poniedzialek,29,11,2021
32.0,30.0,Nie ma dymu,0,16:41,Poniedzialek,29,11,2021
32.0,30.0,Nie ma dymu,0,17:12,Poniedzialek,29,11,2021
33.0,30.0,Nie ma dymu,0,17:42,Poniedzialek,29,11,2021
33.0,29.0,Nie ma dymu,0,18:12,Poniedzialek,29,11,2021
32.0,30.0,Nie ma dymu,0,18:42,Poniedzialek,29,11,2021
32.0,30.0,Nie ma dymu,0,19:12,Poniedzialek,29,11,2021
31.0,30.0,Nie ma dymu,0,19:42,Poniedzialek,29,11,2021
32.0,29.0,Nie ma dymu,0,20:12,Poniedzialek,29,11,2021
31.0,30.0,Nie ma dymu,0,20:42,Poniedzialek,29,11,2021
31.0,30.0,Nie ma dymu,0,21:12,Poniedzialek,29,11,2021
30.0,30.0,Nie ma dymu,0,21:42,Poniedzialek,29,11,2021
31.0,30.0,Nie ma dymu,0,22:12,Poniedzialek,29,11,2021
31.0,29.0,Nie ma dymu,0,22:42,Poniedzialek,29,11,2021
35.0,26.0,Nie ma dymu,0,10:06,Wtorek,30,11,2021
35.0,26.0,Nie ma dymu,0,10:36,Wtorek,30,11,2021
34.0,26.0,Nie ma dymu,0,11:06,Wtorek,30,11,2021
34.0,25.0,Nie ma dymu,0,11:36,Wtorek,30,11,2021
36.0,25.0,Nie ma dymu,0,14:14,Wtorek,30,11,2021
28.0,29.0,Nie ma dymu,0,17:50,Wtorek,30,11,2021
29.0,30.0,Nie ma dymu,0,18:43,Wtorek,30,11,2021
32,27,0,0,23:47,Wtorek,30,11,2021
31,27,0,0,00:17,Sroda,01,12,2021
31,28,0,0,00:47,Sroda,01,12,2021
30,26,0,0,12:05,Sroda,01,12,2021
33,27,0,0,19:44,Sroda,01,12,2021
34,28,0,0,20:14,Sroda,01,12,2021
33,29,0,0,20:44,Sroda,01,12,2021
32,30,0,0,21:14,Sroda,01,12,2021
31,30,0,0,21:44,Sroda,01,12,2021
31,29,0,0,22:15,Sroda,01,12,2021
32,28,0,0,22:45,Sroda,01,12,2021
29,25,0,0,18:40,Sroda,08,12,2021
30,25,0,0,19:10,Sroda,08,12,2021
30,25,0,0,19:40,Sroda,08,12,2021
30,24,0,0,20:10,Sroda,08,12,2021
30,24,0,0,20:40,Sroda,08,12,2021
30,25,0,0,21:10,Sroda,08,12,2021
30,25,0,0,21:40,Sroda,08,12,2021
31,25,0,0,22:10,Sroda,08,12,2021
31,25,0,0,22:40,Sroda,08,12,2021
30,25,0,0,23:10,Sroda,08,12,2021
30,25,0,0,23:40,Sroda,08,12,2021
