wilgotnosc,temperatura,dym,ruch,godzina,dzientyg,dzienmsc,miesiac,rok
48.0,23.0,Nie ma dymu,0,13:51,Sobota,20,11,2021
50.0,22.0,Nie ma dymu,0,14:21,Sobota,20,11,2021
47.0,23.0,Nie ma dymu,0,14:51,Sobota,20,11,2021
47.0,23.0,Nie ma dymu,0,15:21,Sobota,20,11,2021
49.0,22.0,Nie ma dymu,0,15:51,Sobota,20,11,2021
49.0,23.0,Nie ma dymu,0,16:21,Sobota,20,11,2021
49.0,22.0,Nie ma dymu,0,16:51,Sobota,20,11,2021
47.0,23.0,Nie ma dymu,0,17:21,Sobota,20,11,2021
49.0,23.0,Nie ma dymu,0,17:51,Sobota,20,11,2021
48.0,23.0,Nie ma dymu,0,18:21,Sobota,20,11,2021
48.0,23.0,Nie ma dymu,0,18:51,Sobota,20,11,2021
47.0,23.0,Nie ma dymu,0,19:21,Sobota,20,11,2021
48.0,23.0,Nie ma dymu,0,19:51,Sobota,20,11,2021
47.0,23.0,Nie ma dymu,0,20:21,Sobota,20,11,2021
46.0,23.0,Nie ma dymu,0,20:51,Sobota,20,11,2021
49.0,23.0,Nie ma dymu,0,21:21,Sobota,20,11,2021
48.0,22.0,Nie ma dymu,0,21:51,Sobota,20,11,2021
47.0,23.0,Nie ma dymu,0,22:21,Sobota,20,11,2021
48.0,23.0,Nie ma dymu,0,22:51,Sobota,20,11,2021
48.0,23.0,Nie ma dymu,0,23:21,Sobota,20,11,2021
47.0,23.0,Nie ma dymu,0,23:51,Sobota,20,11,2021
49.0,22.0,Nie ma dymu,0,00:21,Niedziela,21,11,2021
47.0,23.0,Nie ma dymu,0,00:51,Niedziela,21,11,2021
47.0,23.0,Nie ma dymu,0,01:21,Niedziela,21,11,2021
50.0,22.0,Nie ma dymu,0,01:51,Niedziela,21,11,2021
48.0,23.0,Nie ma dymu,0,02:21,Niedziela,21,11,2021
49.0,23.0,Nie ma dymu,0,02:52,Niedziela,21,11,2021
47.0,23.0,Nie ma dymu,0,03:22,Niedziela,21,11,2021
46.0,23.0,Nie ma dymu,0,03:52,Niedziela,21,11,2021
46.0,23.0,Nie ma dymu,0,04:22,Niedziela,21,11,2021
46.0,23.0,Nie ma dymu,0,04:52,Niedziela,21,11,2021
47.0,23.0,Nie ma dymu,0,05:22,Niedziela,21,11,2021
48.0,23.0,Nie ma dymu,0,05:52,Niedziela,21,11,2021
47.0,23.0,Nie ma dymu,0,06:22,Niedziela,21,11,2021
46.0,23.0,Nie ma dymu,0,06:52,Niedziela,21,11,2021
48.0,23.0,Nie ma dymu,0,07:22,Niedziela,21,11,2021
48.0,23.0,Nie ma dymu,0,07:52,Niedziela,21,11,2021
46.0,23.0,Nie ma dymu,0,08:22,Niedziela,21,11,2021
49.0,22.0,Nie ma dymu,0,08:52,Niedziela,21,11,2021
46.0,23.0,Nie ma dymu,0,09:22,Niedziela,21,11,2021
49.0,23.0,Nie ma dymu,0,09:52,Niedziela,21,11,2021
48.0,23.0,Nie ma dymu,0,10:22,Niedziela,21,11,2021
46.0,23.0,Nie ma dymu,0,10:52,Niedziela,21,11,2021
49.0,22.0,Nie ma dymu,0,11:22,Niedziela,21,11,2021
46.0,23.0,Nie ma dymu,0,11:52,Niedziela,21,11,2021
49.0,22.0,Nie ma dymu,0,12:22,Niedziela,21,11,2021
47.0,23.0,Nie ma dymu,0,12:52,Niedziela,21,11,2021
47.0,23.0,Nie ma dymu,0,13:22,Niedziela,21,11,2021
49.0,22.0,Nie ma dymu,0,13:53,Niedziela,21,11,2021
48.0,22.0,Nie ma dymu,0,14:23,Niedziela,21,11,2021
47.0,23.0,Nie ma dymu,0,14:53,Niedziela,21,11,2021
49.0,22.0,Nie ma dymu,0,15:23,Niedziela,21,11,2021
47.0,23.0,Nie ma dymu,0,15:53,Niedziela,21,11,2021
49.0,22.0,Nie ma dymu,0,16:23,Niedziela,21,11,2021
48.0,22.0,Nie ma dymu,0,16:53,Niedziela,21,11,2021
49.0,23.0,Nie ma dymu,0,17:23,Niedziela,21,11,2021
46.0,23.0,Nie ma dymu,0,17:53,Niedziela,21,11,2021
47.0,23.0,Nie ma dymu,0,18:23,Niedziela,21,11,2021
49.0,22.0,Nie ma dymu,0,18:53,Niedziela,21,11,2021
49.0,23.0,Nie ma dymu,0,19:23,Niedziela,21,11,2021
47.0,23.0,Nie ma dymu,0,19:53,Niedziela,21,11,2021
49.0,22.0,Nie ma dymu,0,20:23,Niedziela,21,11,2021
48.0,23.0,Nie ma dymu,0,20:53,Niedziela,21,11,2021
47.0,23.0,Nie ma dymu,0,21:23,Niedziela,21,11,2021
47.0,23.0,Nie ma dymu,0,21:53,Niedziela,21,11,2021
46.0,23.0,Nie ma dymu,0,22:23,Niedziela,21,11,2021
46.0,23.0,Nie ma dymu,0,22:54,Niedziela,21,11,2021
