wilgotnosc,temperatura,dym,ruch,godzina
47.0,22.0,Nie ma dymu,0,10:08
45.0,23.0,Nie ma dymu,0,10:18
45.0,23.0,Nie ma dymu,0,10:28
47.0,22.0,Nie ma dymu,0,10:38
45.0,23.0,Nie ma dymu,0,10:48
45.0,23.0,Nie ma dymu,0,10:58
46.0,23.0,Nie ma dymu,0,11:08
47.0,22.0,Nie ma dymu,0,11:18
46.0,22.0,Nie ma dymu,0,11:28
47.0,23.0,Nie ma dymu,0,11:38
47.0,23.0,Nie ma dymu,0,11:48
46.0,23.0,Nie ma dymu,0,11:58
47.0,22.0,Nie ma dymu,0,12:08
45.0,23.0,Nie ma dymu,0,12:18
46.0,23.0,Nie ma dymu,0,12:29
45.0,23.0,Nie ma dymu,0,12:39
47.0,23.0,Nie ma dymu,0,12:49
47.0,22.0,Nie ma dymu,0,12:59
46.0,22.0,Nie ma dymu,0,13:09
45.0,23.0,Nie ma dymu,0,13:19
46.0,23.0,Nie ma dymu,0,13:29
48.0,22.0,Nie ma dymu,0,13:39
46.0,22.0,Nie ma dymu,0,13:49
45.0,23.0,Nie ma dymu,0,13:59
46.0,23.0,Nie ma dymu,0,14:09
48.0,22.0,Nie ma dymu,0,14:19
47.0,22.0,Nie ma dymu,0,14:29
45.0,23.0,Nie ma dymu,0,14:39
46.0,23.0,Nie ma dymu,0,14:49
